player,team,league,season,position,age,minutes,team_possession_pct,psxg_net_per90,save_pct,pass_completion_pct,passes_completed_long_pct,def_actions_outside_pen_per90,crosses_stopped_pct,avg_dist_def_actions,progressive_passes_per90,progressive_passing_distance_per90,passes_into_final_third_per90,progressive_carries_per90,take_on_success_pct,padj_tackles_per90,padj_interceptions_per90,ball_recoveries_per90,blocks_per90,aerial_win_pct,tackle_win_pct,xAG_per90,sca_per90,key_passes_per90,passes_into_penalty_area_per90,take_ons_attempted_per90,tackles_att_3rd_per90,npxG_per90,shots_total_per90,touches_att_pen_per90,carries_into_penalty_area_per90,shots_on_target_pct
Cesar Azpilicueta,Atletico Madrid,La Liga,2024/25,CB,34,1122,52.0,,,89.8,,,,,5.51,402.78,3.62,0.6,45.4,1.19,3.55,7.46,1.56,77.5,73.3,,,,,,,,,,,
Clement Lenglet,Atletico Madrid,La Liga,2025/26,CB,29,1693,52.0,,,82.3,,,,,5.16,410.3,2.03,2.01,60.2,1.07,1.35,6.06,2.53,60.2,70.9,,,,,,,,,,,
Clement Lenglet,Atletico Madrid,La Liga,2024/25,CB,28,1693,52.0,,,83.9,,,,,5.26,418.51,2.07,2.05,61.4,1.09,1.38,6.18,2.58,61.4,72.3,,,,,,,,,,,
Marcos Llorente,Atletico Madrid,La Liga,2025/26,FB,29,1662,52.0,,,86.0,,,,,5.01,,5.21,3.91,45.1,3.59,2.68,5.75,,41.1,,0.2,2.22,1.11,1.33,3.54,0.53,,,,,
Marcos Llorente,Atletico Madrid,La Liga,2024/25,FB,28,1662,52.0,,,87.7,,,,,5.11,,5.31,3.99,46.0,3.66,2.73,5.87,,41.9,,0.2,2.26,1.13,1.36,3.61,0.54,,,,,
Nahuel Molina,Atletico Madrid,La Liga,2025/26,FB,26,2522,52.0,,,83.6,,,,,6.64,,5.49,1.85,69.1,1.88,1.84,6.72,,57.0,,0.25,2.53,0.69,1.38,1.3,0.21,,,,,
Nahuel Molina,Atletico Madrid,La Liga,2024/25,FB,25,2522,52.0,,,85.3,,,,,6.77,,5.6,1.89,70.5,1.92,1.88,6.85,,58.1,,0.26,2.58,0.7,1.41,1.33,0.21,,,,,
Samuel Lino,Atletico Madrid,La Liga,2025/26,FB,24,511,52.0,,,75.7,,,,,6.81,,4.91,3.23,50.6,2.85,1.82,5.05,,50.8,,0.17,1.01,1.74,1.39,1.2,0.38,,,,,
Samuel Lino,Atletico Madrid,La Liga,2024/25,FB,23,900,52.0,,,72.7,,,,,6.54,,4.71,3.1,48.6,2.74,1.75,4.85,,48.8,,0.16,0.97,1.67,1.33,1.15,0.36,,,,,
Rodrigo Riquelme,Atletico Madrid,La Liga,2025/26,FB,24,1739,52.0,,,87.8,,,,,6.89,,4.8,2.06,57.4,2.11,2.71,7.99,,63.8,,0.11,1.96,1.18,1.82,1.14,0.11,,,,,
Rodrigo Riquelme,Atletico Madrid,La Liga,2024/25,FB,23,1739,52.0,,,84.3,,,,,6.61,,4.61,1.98,55.1,2.03,2.6,7.67,,61.2,,0.11,1.88,1.13,1.75,1.09,0.11,,,,,
Javi Galan,Atletico Madrid,La Liga,2025/26,FB,29,577,52.0,,,83.0,,,,,5.74,,3.53,4.1,54.0,3.87,2.77,4.37,,42.4,,0.24,2.7,1.47,0.57,3.12,0.22,,,,,
Javi Galan,Atletico Madrid,La Liga,2024/25,FB,28,900,52.0,,,84.7,,,,,5.85,,3.6,4.18,55.1,3.95,2.83,4.46,,43.2,,0.24,2.75,1.5,0.58,3.18,0.22,,,,,
Koke,Atletico Madrid,La Liga,2025/26,CM,32,1562,52.0,,,79.3,,,,,5.47,,4.33,3.92,66.1,1.69,2.79,5.98,2.23,43.9,,0.2,3.92,1.61,0.91,,,0.05,,,,
Koke,Atletico Madrid,La Liga,2024/25,CM,31,1562,52.0,,,83.3,,,,,5.74,,4.55,4.12,69.4,1.77,2.93,6.28,2.34,46.1,,0.21,4.12,1.69,0.96,,,0.05,,,,
Rodrigo De Paul,Atletico Madrid,La Liga,2025/26,CM,30,3192,52.0,,,80.2,,,,,5.69,,4.23,2.73,57.0,1.75,2.07,8.2,1.12,47.9,,0.3,4.32,0.71,1.46,,,0.09,,,,
Rodrigo De Paul,Atletico Madrid,La Liga,2024/25,CM,29,3192,52.0,,,81.8,,,,,5.8,,4.31,2.78,58.1,1.79,2.11,8.36,1.14,48.9,,0.31,4.41,0.72,1.49,,,0.09,,,,
Conor Gallagher,Atletico Madrid,La Liga,2025/26,CM,24,513,52.0,,,75.9,,,,,4.71,,6.65,1.53,45.6,2.11,2.6,6.39,2.07,55.4,,0.05,3.46,2.07,1.13,,,0.24,,,,
Conor Gallagher,Atletico Madrid,La Liga,2024/25,CM,23,900,52.0,,,72.9,,,,,4.52,,6.38,1.47,43.8,2.03,2.5,6.13,1.99,53.2,,0.05,3.32,1.99,1.08,,,0.23,,,,
Pablo Barrios,Atletico Madrid,La Liga,2025/26,CM,21,1999,52.0,,,90.8,,,,,5.97,,6.33,2.06,45.7,3.23,1.13,8.85,1.97,64.3,,0.29,3.1,1.99,1.15,,,0.06,,,,
Pablo Barrios,Atletico Madrid,La Liga,2024/25,CM,20,1999,52.0,,,83.5,,,,,5.49,,5.82,1.9,42.0,2.97,1.04,8.14,1.81,59.2,,0.27,2.85,1.83,1.06,,,0.06,,,,
Thomas Lemar,Atletico Madrid,La Liga,2025/26,CM,28,1263,52.0,,,84.2,,,,,5.36,,6.02,2.98,73.3,2.29,1.19,7.96,1.64,63.9,,0.19,1.53,1.26,1.44,,,0.12,,,,
Thomas Lemar,Atletico Madrid,La Liga,2024/25,CM,27,1263,52.0,,,85.9,,,,,5.47,,6.14,3.04,74.8,2.34,1.21,8.12,1.67,65.2,,0.19,1.56,1.29,1.47,,,0.12,,,,
Antoine Griezmann,Atletico Madrid,La Liga,2025/26,W,33,1667,52.0,,,,,,,,5.74,,,3.31,61.3,1.92,0.5,2.83,,,,0.16,3.33,1.29,,3.29,1.06,0.38,2.53,3.05,3.4,
Antoine Griezmann,Atletico Madrid,La Liga,2024/25,W,32,1667,52.0,,,,,,,,6.03,,,3.48,64.4,2.02,0.53,2.97,,,,0.17,3.5,1.35,,3.45,1.11,0.4,2.66,3.2,3.57,
Angel Correa,Atletico Madrid,La Liga,2025/26,W,29,2863,52.0,,,,,,,,5.18,,,4.29,45.5,0.83,0.29,2.19,,,,0.16,4.14,1.74,,6.56,0.38,0.29,2.29,6.99,2.42,
Angel Correa,Atletico Madrid,La Liga,2024/25,W,28,2863,52.0,,,,,,,,5.28,,,4.38,46.4,0.85,0.3,2.23,,,,0.16,4.22,1.77,,6.69,0.39,0.3,2.34,7.13,2.47,
Julian Alvarez,Atletico Madrid,La Liga,2025/26,ST,24,641,52.0,,,69.8,,,,,,,,,,1.4,,1.77,,45.6,,0.2,2.88,0.82,,,0.26,0.33,2.6,4.38,1.73,43.1
Julian Alvarez,Atletico Madrid,La Liga,2024/25,ST,23,900,52.0,,,67.0,,,,,,,,,,1.34,,1.7,,43.8,,0.19,2.76,0.79,,,0.25,0.32,2.5,4.2,1.66,41.4
Alexander Sorloth,Atletico Madrid,La Liga,2025/26,ST,28,2575,52.0,,,76.0,,,,,,,,,,0.59,,1.18,,58.9,,0.13,3.08,1.25,,,0.34,0.6,2.98,4.76,2.28,38.0
Alexander Sorloth,Atletico Madrid,La Liga,2024/25,ST,27,2575,52.0,,,77.5,,,,,,,,,,0.6,,1.2,,60.1,,0.13,3.14,1.27,,,0.35,0.61,3.04,4.86,2.33,38.8
Giuliano Simeone,Atletico Madrid,La Liga,2025/26,ST,21,2043,52.0,,,81.9,,,,,,,,,,0.6,,2.42,,30.6,,0.24,3.03,0.86,,,0.47,0.47,2.53,4.4,0.56,36.2
Giuliano Simeone,Atletico Madrid,La Liga,2024/25,ST,20,2043,52.0,,,75.3,,,,,,,,,,0.55,,2.23,,28.2,,0.22,2.79,0.79,,,0.43,0.43,2.33,4.05,0.52,33.3
Paulo Gazzaniga,Girona,La Liga,2025/26,GK,32,1305,57.2,0.12,70.8,77.6,57.1,2.36,4.8,11.6,,,,,,,,,,,,,,,,,,,,,,
Paulo Gazzaniga,Girona,La Liga,2024/25,GK,31,1305,57.2,0.13,74.3,81.5,60.0,2.48,10.0,12.18,,,,,,,,,,,,,,,,,,,,,,
Pau Lopez,Girona,La Liga,2025/26,GK,29,1414,57.2,0.21,69.3,79.4,38.5,1.84,4.4,13.5,,,,,,,,,,,,,,,,,,,,,,
Pau Lopez,Girona,La Liga,2024/25,GK,28,1414,57.2,0.21,70.7,81.0,39.3,1.88,10.0,13.77,,,,,,,,,,,,,,,,,,,,,,
David Lopez,Girona,La Liga,2025/26,CB,34,1067,57.2,,,77.9,,,,,3.23,438.9,4.44,2.19,45.7,1.52,1.72,5.23,2.02,62.8,55.8,,,,,,,,,,,
David Lopez,Girona,La Liga,2024/25,CB,33,1067,57.2,,,81.8,,,,,3.39,460.84,4.66,2.3,48.0,1.6,1.81,5.49,2.12,65.9,58.6,,,,,,,,,,,
Daley Blind,Girona,La Liga,2025/26,CB,34,2302,57.2,,,90.1,,,,,2.36,291.8,1.88,1.58,59.3,1.14,3.19,7.92,2.25,51.8,72.6,,,,,,,,,,,
Daley Blind,Girona,La Liga,2024/25,CB,33,2302,57.2,,,94.6,,,,,2.48,306.39,1.97,1.66,62.3,1.2,3.35,8.32,2.36,54.4,76.2,,,,,,,,,,,
Alejandro Frances,Girona,La Liga,2025/26,CB,22,2696,57.2,,,94.4,,,,,5.47,395.9,2.13,1.37,74.8,1.35,3.38,5.16,1.98,66.8,73.1,,,,,,,,,,,
Alejandro Frances,Girona,La Liga,2024/25,CB,21,2696,57.2,,,90.6,,,,,5.25,380.06,2.04,1.32,71.8,1.3,3.24,4.95,1.9,64.1,70.2,,,,,,,,,,,
Ladislav Krejci,Girona,La Liga,2025/26,CB,25,2000,57.2,,,92.3,,,,,4.87,469.8,4.64,1.32,62.4,2.69,1.79,5.29,2.66,53.9,81.0,,,,,,,,,,,
Ladislav Krejci,Girona,La Liga,2024/25,CB,24,2000,57.2,,,94.1,,,,,4.97,479.2,4.73,1.35,63.6,2.74,1.83,5.4,2.71,55.0,82.6,,,,,,,,,,,
Juanpe,Girona,La Liga,2025/26,CB,33,3154,57.2,,,80.3,,,,,3.92,240.9,2.89,1.29,51.3,3.01,2.67,7.59,2.83,65.6,76.1,,,,,,,,,,,
Juanpe,Girona,La Liga,2024/25,CB,32,3154,57.2,,,84.3,,,,,4.12,252.95,3.03,1.35,53.9,3.16,2.8,7.97,2.97,68.9,79.9,,,,,,,,,,,
Arnau Martinez,Girona,La Liga,2025/26,FB,21,1644,57.2,,,85.7,,,,,5.68,,2.26,2.85,64.8,3.77,2.3,6.16,,44.0,,0.12,3.5,1.88,0.54,2.28,0.36,,,,,
Arnau Martinez,Girona,La Liga,2024/25,FB,20,1644,57.2,,,78.8,,,,,5.23,,2.08,2.62,59.6,3.47,2.12,5.67,,40.5,,0.11,3.22,1.73,0.5,2.1,0.33,,,,,
Miguel Gutierrez,Girona,La Liga,2025/26,FB,23,671,57.2,,,77.6,,,,,3.77,,2.79,1.68,59.1,1.87,2.64,5.27,,55.5,,0.23,2.97,0.76,1.7,1.98,0.11,,,,,
Miguel Gutierrez,Girona,La Liga,2024/25,FB,22,900,57.2,,,74.5,,,,,3.62,,2.68,1.61,56.7,1.8,2.53,5.06,,53.3,,0.22,2.85,0.73,1.63,1.9,0.11,,,,,
Francés,Girona,La Liga,2025/26,FB,22,2555,57.2,,,74.5,,,,,6.61,,4.92,2.09,56.7,3.05,1.2,6.09,,40.3,,0.23,2.55,1.45,0.63,3.47,0.35,,,,,
Francés,Girona,La Liga,2024/25,FB,21,2555,57.2,,,71.5,,,,,6.35,,4.72,2.01,54.4,2.93,1.15,5.85,,38.7,,0.22,2.45,1.39,0.6,3.33,0.34,,,,,
Yangel Herrera,Girona,La Liga,2025/26,CM,26,1915,57.2,,,87.5,,,,,7.4,,6.36,2.66,63.2,4.07,1.27,7.57,0.96,47.6,,0.11,2.81,1.13,1.76,,,0.15,,,,
Yangel Herrera,Girona,La Liga,2024/25,CM,25,1915,57.2,,,89.2,,,,,7.55,,6.49,2.71,64.5,4.15,1.3,7.72,0.98,48.6,,0.11,2.87,1.15,1.8,,,0.15,,,,
Ivan Martin,Girona,La Liga,2025/26,CM,25,1479,57.2,,,81.4,,,,,7.57,,5.37,3.75,68.1,4.07,1.58,8.2,0.85,62.3,,0.2,2.76,0.63,1.84,,,0.08,,,,
Ivan Martin,Girona,La Liga,2024/25,CM,24,1479,57.2,,,83.0,,,,,7.72,,5.48,3.83,69.5,4.15,1.61,8.36,0.87,63.5,,0.2,2.82,0.64,1.88,,,0.08,,,,
Oriol Romeu,Girona,La Liga,2025/26,CM,32,700,57.2,,,87.2,,,,,5.19,,6.6,1.84,59.1,4.47,3.12,6.51,1.24,45.4,,0.22,3.41,2.13,1.38,,,0.13,,,,
Oriol Romeu,Girona,La Liga,2024/25,CM,31,900,57.2,,,91.6,,,,,5.45,,6.93,1.93,62.1,4.69,3.28,6.84,1.3,47.7,,0.23,3.58,2.24,1.45,,,0.14,,,,
Donny van de Beek,Girona,La Liga,2025/26,CM,27,3050,57.2,,,81.4,,,,,6.75,,3.43,3.17,53.2,1.79,2.2,6.31,2.22,53.1,,0.15,2.53,0.87,2.29,,,0.22,,,,
Donny van de Beek,Girona,La Liga,2024/25,CM,26,3050,57.2,,,83.0,,,,,6.88,,3.5,3.23,54.3,1.83,2.24,6.44,2.26,54.2,,0.15,2.58,0.89,2.34,,,0.22,,,,
Jhon Solis,Girona,La Liga,2025/26,CM,19,567,57.2,,,82.4,,,,,6.18,,6.02,3.51,70.4,1.85,2.44,7.94,1.27,63.5,,0.13,4.47,1.73,1.1,,,0.06,,,,
Jhon Solis,Girona,La Liga,2024/25,CM,18,900,57.2,,,75.8,,,,,5.69,,5.54,3.23,64.8,1.7,2.24,7.3,1.17,58.4,,0.12,4.11,1.59,1.01,,,0.06,,,,
Viktor Tsygankov,Girona,La Liga,2025/26,W,26,1613,57.2,,,,,,,,2.63,,,4.66,43.3,0.7,0.92,2.26,,,,0.26,3.86,2.14,,6.54,0.45,0.38,1.99,6.82,2.61,
Viktor Tsygankov,Girona,La Liga,2024/25,W,25,1613,57.2,,,,,,,,2.68,,,4.75,44.2,0.71,0.94,2.31,,,,0.27,3.94,2.18,,6.67,0.46,0.39,2.03,6.96,2.66,
Bryan Gil,Girona,La Liga,2025/26,W,23,1119,57.2,,,,,,,,5.26,,,6.78,39.7,1.9,0.59,3.92,,,,0.25,3.07,2.43,,6.65,0.92,0.24,3.59,6.17,2.98,
Bryan Gil,Girona,La Liga,2024/25,W,22,1119,57.2,,,,,,,,5.05,,,6.51,38.1,1.82,0.57,3.76,,,,0.24,2.95,2.33,,6.38,0.88,0.23,3.45,5.92,2.86,
Portu,Girona,La Liga,2025/26,W,32,2318,57.2,,,,,,,,3.65,,,5.58,63.8,1.25,0.9,2.96,,,,0.17,3.61,1.24,,7.09,0.84,0.35,2.71,4.06,2.68,
Portu,Girona,La Liga,2024/25,W,31,2318,57.2,,,,,,,,3.83,,,5.86,67.0,1.31,0.95,3.11,,,,0.18,3.79,1.3,,7.44,0.88,0.37,2.85,4.26,2.81,
Arnaut Danjuma,Girona,La Liga,2025/26,W,27,2168,57.2,,,,,,,,5.79,,,5.76,53.1,1.74,0.39,3.45,,,,0.2,4.42,1.58,,5.83,0.42,0.22,3.83,4.68,2.86,
Arnaut Danjuma,Girona,La Liga,2024/25,W,26,2168,57.2,,,,,,,,5.91,,,5.88,54.2,1.77,0.4,3.52,,,,0.2,4.51,1.61,,5.95,0.43,0.22,3.91,4.77,2.92,
Cristhian Stuani,Girona,La Liga,2025/26,ST,37,1456,57.2,,,66.7,,,,,,,,,,0.69,,3.26,,59.8,,0.22,3.21,1.39,,,0.16,0.6,2.44,5.57,0.8,41.6
Cristhian Stuani,Girona,La Liga,2024/25,ST,36,1456,57.2,,,70.0,,,,,,,,,,0.72,,3.42,,62.8,,0.23,3.37,1.46,,,0.17,0.63,2.56,5.85,0.84,43.7
Abel Ruiz,Girona,La Liga,2025/26,ST,24,1725,57.2,,,65.6,,,,,,,,,,1.29,,2.72,,53.0,,0.2,1.89,1.17,,,0.46,0.67,2.63,8.31,1.65,54.8
Abel Ruiz,Girona,La Liga,2024/25,ST,23,1725,57.2,,,63.0,,,,,,,,,,1.24,,2.61,,50.9,,0.19,1.81,1.12,,,0.44,0.64,2.52,7.98,1.58,52.6
Bojan Miovski,Girona,La Liga,2025/26,ST,25,860,57.2,,,81.8,,,,,,,,,,0.78,,2.67,,51.9,,0.16,2.4,0.65,,,0.45,0.38,4.47,4.55,1.02,38.1
Bojan Miovski,Girona,La Liga,2024/25,ST,24,900,57.2,,,83.4,,,,,,,,,,0.8,,2.72,,52.9,,0.16,2.45,0.66,,,0.46,0.39,4.56,4.64,1.04,38.9
Unai Simon,Athletic Club,La Liga,2025/26,GK,27,834,50.8,0.03,65.2,72.0,32.1,2.13,10.0,16.3,,,,,,,,,,,,,,,,,,,,,,
Unai Simon,Athletic Club,La Liga,2024/25,GK,26,900,50.8,0.03,66.5,73.4,32.7,2.17,10.2,16.63,,,,,,,,,,,,,,,,,,,,,,
Julen Agirrezabala,Athletic Club,La Liga,2025/26,GK,23,2670,50.8,-0.26,78.4,65.9,58.8,0.88,10.8,12.7,,,,,,,,,,,,,,,,,,,,,,
Julen Agirrezabala,Athletic Club,La Liga,2024/25,GK,22,2670,50.8,0.0,75.3,63.3,56.4,0.84,10.4,12.19,,,,,,,,,,,,,,,,,,,,,,
Dani Vivian,Athletic Club,La Liga,2025/26,CB,25,1649,50.8,,,88.6,,,,,3.58,260.3,3.86,1.08,73.0,1.16,2.2,4.28,1.42,66.3,78.7,,,,,,,,,,,
Dani Vivian,Athletic Club,La Liga,2024/25,CB,24,1649,50.8,,,90.4,,,,,3.65,265.51,3.94,1.1,74.5,1.18,2.24,4.37,1.45,67.6,80.3,,,,,,,,,,,
Aitor Paredes,Athletic Club,La Liga,2025/26,CB,24,2037,50.8,,,91.6,,,,,4.76,387.9,1.82,0.71,72.0,3.13,1.51,6.84,2.36,64.7,63.8,,,,,,,,,,,
Aitor Paredes,Athletic Club,La Liga,2024/25,CB,23,2037,50.8,,,87.9,,,,,4.57,372.38,1.75,0.68,69.1,3.0,1.45,6.57,2.27,62.1,61.2,,,,,,,,,,,
Yeray Alvarez,Athletic Club,La Liga,2025/26,CB,29,2640,50.8,,,91.1,,,,,5.58,277.6,2.59,1.43,63.7,2.06,2.9,7.66,1.43,66.7,60.1,,,,,,,,,,,
Yeray Alvarez,Athletic Club,La Liga,2024/25,CB,28,2640,50.8,,,92.9,,,,,5.69,283.15,2.64,1.46,65.0,2.1,2.96,7.81,1.46,68.0,61.3,,,,,,,,,,,
Unai Nunez,Athletic Club,La Liga,2025/26,CB,27,870,50.8,,,79.1,,,,,5.28,280.6,1.44,1.43,77.2,2.2,1.07,4.25,1.11,66.9,61.0,,,,,,,,,,,
Unai Nunez,Athletic Club,La Liga,2024/25,CB,26,900,50.8,,,80.7,,,,,5.39,286.21,1.47,1.46,78.7,2.24,1.09,4.33,1.13,68.2,62.2,,,,,,,,,,,
Oscar De Marcos,Athletic Club,La Liga,2025/26,FB,35,509,50.8,,,74.5,,,,,5.36,,2.96,1.75,49.1,3.23,2.99,4.9,,43.0,,0.1,2.7,1.02,1.43,3.23,0.13,,,,,
Oscar De Marcos,Athletic Club,La Liga,2024/25,FB,34,900,50.8,,,78.2,,,,,5.63,,3.11,1.84,51.6,3.39,3.14,5.15,,45.1,,0.11,2.84,1.07,1.5,3.39,0.14,,,,,
Yuri Berchiche,Athletic Club,La Liga,2025/26,FB,34,1443,50.8,,,70.9,,,,,5.2,,4.74,2.37,41.5,3.84,1.65,5.8,,63.3,,0.15,1.58,1.73,1.09,3.1,0.66,,,,,
Yuri Berchiche,Athletic Club,La Liga,2024/25,FB,33,1443,50.8,,,74.4,,,,,5.46,,4.98,2.49,43.6,4.03,1.73,6.09,,66.5,,0.16,1.66,1.82,1.14,3.26,0.69,,,,,
Inigo Lekue,Athletic Club,La Liga,2025/26,FB,31,2744,50.8,,,73.0,,,,,3.36,,5.42,3.09,46.9,2.57,1.85,4.48,,50.3,,0.07,2.75,0.63,1.56,1.25,0.56,,,,,
Inigo Lekue,Athletic Club,La Liga,2024/25,FB,30,2744,50.8,,,76.7,,,,,3.53,,5.69,3.24,49.2,2.7,1.94,4.7,,52.8,,0.07,2.89,0.66,1.64,1.31,0.59,,,,,
Andoni Gorosabel,Athletic Club,La Liga,2025/26,FB,28,1833,50.8,,,87.3,,,,,3.24,,2.32,3.25,41.6,2.54,1.3,5.79,,58.0,,0.09,2.78,1.52,1.64,2.2,0.69,,,,,
Andoni Gorosabel,Athletic Club,La Liga,2024/25,FB,27,1833,50.8,,,89.0,,,,,3.3,,2.37,3.31,42.4,2.59,1.33,5.91,,59.2,,0.09,2.84,1.55,1.67,2.24,0.7,,,,,
Oihan Sancet,Athletic Club,La Liga,2025/26,CM,24,2476,50.8,,,85.8,,,,,7.29,,3.25,2.78,49.3,1.85,2.86,8.5,2.39,52.8,,0.24,1.7,0.86,2.12,,,0.05,,,,
Oihan Sancet,Athletic Club,La Liga,2024/25,CM,23,2476,50.8,,,82.4,,,,,7.0,,3.12,2.67,47.3,1.78,2.75,8.16,2.29,50.7,,0.23,1.63,0.83,2.04,,,0.05,,,,
Inigo Ruiz de Galarreta,Athletic Club,La Liga,2025/26,CM,31,1996,50.8,,,88.6,,,,,4.81,,4.51,2.21,67.2,4.31,1.66,6.51,1.38,58.7,,0.24,4.38,0.6,2.23,,,0.1,,,,
Inigo Ruiz de Galarreta,Athletic Club,La Liga,2024/25,CM,30,1996,50.8,,,93.0,,,,,5.05,,4.74,2.32,70.6,4.53,1.74,6.84,1.45,61.6,,0.25,4.6,0.63,2.34,,,0.11,,,,
Mikel Vesga,Athletic Club,La Liga,2025/26,CM,31,598,50.8,,,86.6,,,,,8.39,,3.92,1.51,45.2,1.76,2.97,8.54,1.33,59.6,,0.19,4.0,2.1,0.85,,,0.07,,,,
Mikel Vesga,Athletic Club,La Liga,2024/25,CM,30,900,50.8,,,90.9,,,,,8.81,,4.12,1.59,47.5,1.85,3.12,8.97,1.4,62.6,,0.2,4.2,2.21,0.89,,,0.07,,,,
Benat Prados,Athletic Club,La Liga,2025/26,CM,23,1304,50.8,,,89.2,,,,,7.88,,3.19,3.1,74.7,1.89,3.15,6.46,1.81,47.6,,0.08,3.06,2.46,1.33,,,0.18,,,,
Benat Prados,Athletic Club,La Liga,2024/25,CM,22,1304,50.8,,,85.6,,,,,7.56,,3.06,2.98,71.7,1.81,3.02,6.2,1.74,45.7,,0.08,2.94,2.36,1.28,,,0.17,,,,
Ander Herrera,Athletic Club,La Liga,2025/26,CM,35,1755,50.8,,,76.3,,,,,8.98,,3.25,2.12,47.7,2.36,2.57,6.99,1.16,59.4,,0.15,4.06,1.73,1.23,,,0.11,,,,
Ander Herrera,Athletic Club,La Liga,2024/25,CM,34,1755,50.8,,,80.1,,,,,9.43,,3.41,2.23,50.1,2.48,2.7,7.34,1.22,62.4,,0.16,4.26,1.82,1.29,,,0.12,,,,
Mikel Jauregizar,Athletic Club,La Liga,2025/26,CM,20,2692,50.8,,,81.2,,,,,6.92,,6.34,1.65,62.8,2.47,2.98,7.79,1.69,41.4,,0.18,3.8,0.92,2.29,,,0.18,,,,
Mikel Jauregizar,Athletic Club,La Liga,2024/25,CM,19,2288,50.8,,,74.7,,,,,6.37,,5.83,1.52,57.8,2.27,2.74,7.17,1.55,38.1,,0.17,3.5,0.85,2.11,,,0.17,,,,
Nico Williams,Athletic Club,La Liga,2025/26,W,22,2186,50.8,,,,,,,,3.4,,,4.27,64.4,1.05,1.43,2.3,,,,0.34,3.02,1.58,,7.05,0.73,0.17,3.46,6.4,2.13,
Nico Williams,Athletic Club,La Liga,2024/25,W,21,2186,50.8,,,,,,,,3.26,,,4.1,61.8,1.01,1.37,2.21,,,,0.33,2.9,1.52,,6.77,0.7,0.16,3.32,6.14,2.04,
Inaki Williams,Athletic Club,La Liga,2025/26,W,30,612,50.8,,,,,,,,3.54,,,4.89,42.7,1.35,0.51,2.43,,,,0.25,4.73,1.55,,7.9,0.63,0.38,2.68,3.95,2.58,
Inaki Williams,Athletic Club,La Liga,2024/25,W,29,900,50.8,,,,,,,,3.61,,,4.99,43.6,1.38,0.52,2.48,,,,0.26,4.82,1.58,,8.06,0.64,0.39,2.73,4.03,2.63,
Alex Berenguer,Athletic Club,La Liga,2025/26,W,29,2608,50.8,,,,,,,,4.15,,,4.22,49.3,0.85,1.04,2.04,,,,0.39,5.14,2.06,,4.85,1.04,0.37,2.02,4.36,1.16,
